Cod_IBGE;Grande região;Município;Mun_Total de casos;Mun_Total de óbitos;;
3555109;Interior;Tupi Paulista;237;3;;
3555208;Interior;Turiúba;44;1;;
3555307;Interior;Turmalina;34;0;;
3555356;Interior;Ubarana;299;4;;
3555406;Interior;Ubatuba;1878;42;;
3555505;Interior;Ubirajara;82;1;;
3555604;Interior;Uchoa;424;10;;
3555703;Interior;União Paulista;65;2;;
3555802;Interior;Urânia;343;13;;
3555901;Interior;Uru;63;3;;
3556008;Interior;Urupês;255;14;;
3556107;Interior;Valentim Gentil;829;14;;
3556206;Interior;Valinhos;3401;112;;
3556305;Interior;Valparaíso;710;20;;
3556354;Interior;Vargem;82;1;;
3556404;Interior;Vargem Grande do Sul;1074;18;;
3556453;RMSP (exceto capital);Vargem Grande Paulista;700;28;;
3556503;Interior;Várzea Paulista;1894;74;;
3556602;Interior;Vera Cruz;147;8;;
3556701;Interior;Vinhedo;2254;40;;
3556800;Interior;Viradouro;555;9;;
3556909;Interior;Vista Alegre do Alto;225;3;;
3556958;Interior;Vitória Brasil;37;0;;
3557006;Interior;Votorantim;2900;92;;
3557105;Interior;Votuporanga;5717;111;;
3557154;Interior;Zacarias;111;1;;
3557204;Interior;Chavantes;157;2;;
3557303;Interior;Estiva Gerbi;168;5;;
;;Ignorado;199;0;;
