Cod_IBGE;Grande região;Município;Mun_Total de casos;Mun_Total de óbitos;;
3513207;Interior;Cristais Paulista;83;1;;
3513306;Interior;Cruzália;24;0;;
3513405;Interior;Cruzeiro;926;36;;
3513504;Interior;Cubatão;7119;202;;
3513603;Interior;Cunha;168;2;;
3513702;Interior;Descalvado;654;7;;
3513801;RMSP (exceto capital);Diadema;9930;425;;
3513850;Interior;Dirce Reis;20;0;;
3513900;Interior;Divinolândia;151;6;;
3514007;Interior;Dobrada;179;2;;
3514106;Interior;Dois Córregos;353;4;;
3514205;Interior;Dolcinópolis;77;5;;
3514304;Interior;Dourado;181;1;;
3514403;Interior;Dracena;1128;32;;
3514502;Interior;Duartina;281;5;;
3514601;Interior;Dumont;479;5;;
3514700;Interior;Echaporã;34;1;;
3514809;Interior;Eldorado;416;7;;
3514908;Interior;Elias Fausto;641;18;;
3514924;Interior;Elisiário;171;4;;
3514957;Interior;Embaúba;58;1;;
3515004;RMSP (exceto capital);Embu das Artes;4053;186;;
3515103;RMSP (exceto capital);Embu-Guaçu;1385;47;;
3515129;Interior;Emilianópolis;82;2;;
3515152;Interior;Engenheiro Coelho;901;22;;
3515186;Interior;Espírito Santo do Pinhal;1016;25;;
3515194;Interior;Espírito Santo do Turvo;56;1;;
3515202;Interior;Estrela d'Oeste;548;15;;
3515301;Interior;Estrela do Norte;64;2;;
3515350;Interior;Euclides da Cunha Paulista;49;3;;
3515400;Interior;Fartura;165;1;;
3515509;Interior;Fernandópolis;3337;62;;
3515608;Interior;Fernando Prestes;153;3;;
3515657;Interior;Fernão;18;0;;
3515707;RMSP (exceto capital);Ferraz de Vasconcelos;4787;138;;
3515806;Interior;Flora Rica;19;1;;
3515905;Interior;Floreal;49;1;;
3516002;Interior;Flórida Paulista;65;1;;
3516101;Interior;Florínea;33;1;;
3516200;Interior;Franca;6969;212;;
3516309;RMSP (exceto capital);Francisco Morato;3191;138;;
3516408;RMSP (exceto capital);Franco da Rocha;3118;131;;
3516507;Interior;Gabriel Monteiro;51;4;;
3516606;Interior;Gália;76;4;;
3516705;Interior;Garça;784;21;;
3516804;Interior;Gastão Vidigal;82;12;;
